word,polarity
건성으로,-1
건성으로 묻다,-1
건장하다,2
건장한,2
건장한 모양,2
건전하고,2
건전하고 착실한,2
건전하지 못하고,-1
건전하지 못한,-1
건전하지 아니하게,-1
건전한,2
건전함,2
건정히,2
걷지 못하고,-1
걷지 못하는,-1
걸리거나,-1
걸리거나 막히는,-1
걸리다,-1
걸리적대다,-1
걸핏하면,-1
검사에 불합격한,-2
검소하다,1
검소한,2
검은 티끌이라는,-1
검질기게 구는,-1
검질기게 굴다,-1
겁,-1
겁나게,-1
겁나게 하기,-1
겁나다,-1
겁내다,-1
겁에,-1
겁에 지리다,-2
겁에 질려,-2
겁에 질려서,-2
겁에 질리거나,-2
겁을,-1
겁을 내거나,-1
겁을 내다,-1
겁을 먹거나,-1
겁을 먹어,-1
겁을 주며,-1
겁이 나거나,-1
겁이 나서,-1
겁이 많고,-2
겁이 많다,-2
겁이 많아,-2
겁이 많은,-2
겁이 많음,-2
겁자기 부서지거나,-1
겁쟁이,-2
것같이 아프다,-1
것보다 낫다,2
것을 샘하여,-1
것을 짓밟다,-1
것이 거북하거나,-1
것이 깨끗하고,2
것이 해결되어,2
겉만 그럴듯한,-1
겉면이 매끄럽고,1
겉모양의 아름다움과,1
겉치레,-1
게걸스럽게,-2
게걸스럽게 돌아다니는,-2
게걸스럽게 돌아다니다,-2
게우는,-1
게우는 소리,-1
게우는 소리가,-1
게울,-1
게울 듯이,-1
게워,-1
게워 내는,-1
게워 내다,-1
게으르거나,-1
게으르게,-1
게으르게 놀며,-1
게으르게 행동하는,-1
게으르게 행동하다,-1
게으르고,-1
게으르다,-1
게으름,-1
게으름을,-1
게으름을 피우며,-1
게으름이,-1
게으름이 나는,-1
게으름이나,-1
게으름이나 싫증,-1
게을러빠지다,-2
게을러터지다,-2
게을리하지 않고,2
겐트위한,-1
겨를이 없음,-1
겨우 빠듯하게,-1
겨우겨우,-1
겨우겨우 살기를,-1
겨운,-1
겨운 일에,-1
격노,-2
격노하다,-2
격동시키다,0
격려되다,1
격려하다,1
격분,-2
격분하다,-2
격식에 맞아,1
격식을 갖추지 않고,-1
격에 어울리지,-1
격하게,-2
격하게 되다,-2
격하다,0
격하시키다,-2
격한,-2
격한 감정이,-2
격한 기운이,-2
격한 느낌이,-2
겪거나 불쌍한,-1
견고하다,1
견디기 어렵게,-2
견디기가 어려울,-2
견디어 내다,1
견딜 수 없는,-2
견줄 수 없을 정도로,1
결기가,-1
결기가 나다,-1
결단성 없다,-1
결단성 없이,-1
결단성이 없고,-1
결단성이 없다,-1
결단을 못 내리는,-1
결딴날,-2
결딴날 듯이,-2
결막염,-1
결석,-2
결석하다,-2
결심 없이,-1
결점,-1
결점이 없도록,1
결정을 못하고,-1
결정하지 못하고,-1
결정하지 못하는,-1
결정하지 못하다,-1
결정하지 못함,-1
결핍,-2
결핍증,-2
결함,-1
결함을,-1
결함을 드러내어,-1
결함을 들추어,-1
결함을 풍자하였다,-1
결함이 없이,2
결함이 있다,-1
결함이나,-1
결함이나 잘못,-1
결함이나 잘못에,-1
결핵,-1
겸손하게,1
겸손하게 이르는,1
겸손하고,1
겸손하고 예의,2
겸손하고 예의 바른,2
겸손하다,2
겸손한,2
겸연쩍고,-1
겸연쩍다,-1
겹거나,-2
겹게,-2
겹게 여기다,-2
경건하다,2
경건한,1
경련,-1
경련을 일으키다,-2
경련이,-1
경련이 일어나,-2
경망스러우며,-1
경망스러우며 추잡하다,-2
경망스러운,-1
경망스러운 여자를,-1
경망스럽게,-1
경망스럽게 까부는,-1
경망스럽게 내어,-1
경망스럽게 내흔들거나,-2
경망스럽게 놀려,-1
경망스럽게 덤비며,-1
경망스럽게 떠벌리는,-1
경망스럽게 이리저리,-1
경망스럽게 추켰다,-1
경망스럽게 행동하는,-1
경망스럽게 행동하다,-1
경망스럽고,-1
경망스럽고 가볍게,-1
경망스럽고 방정맞은,-1
경망스럽다,-2
경망하게,-1
경망하게 행동하는,-1
경망하게 행동하다,-1
경망한,-1
경망한 짓,-1
경멸,-2
경멸하다,-2
경멸히,-2
경멸히 여겨,-2
경박스럽게,-1
경박스럽게 함부로,-2
경박하게,-1
경박하다,-1
경박한,-1
경박한 행동을,-1
경사스러운,2
경사스러운 일을,2
경상,-2
경솔하게,-1
경솔하게 까부는,-1
경솔하게 말하며,-1
경솔하게 행동하는,-1
경솔하게 행동하다,-1
